year,month,total_ridership
2008,1,6453734
2008,2,6144377
2008,3,6602280
2008,4,31687808
2008,5,33013476
2008,6,32948764
2008,7,33487536
2008,8,33275592
2008,9,31466406
2008,10,32581505
2008,11,30272101
2008,12,31208625
2009,1,28436944
2009,2,27229059
2009,3,30888417
2009,4,31440595
2009,5,32406866
2009,6,32712199
2009,7,32982856
2009,8,32476952
2009,9,31350397
2009,10,32089205
2009,11,30234772
2009,12,30537504
2010,1,28536008
2010,2,24961080
2010,3,31552136
2010,4,31521039
2010,5,32833367
2010,6,33211121
2010,7,33083080
2010,8,33215727
2010,9,31589317
2010,10,32612407
2010,11,30930817
2010,12,30157382
2011,1,26584121
2011,2,26102830
2011,3,31113567
2011,4,30510802
2011,5,32220711
2011,6,32735415
2011,7,32615198
2011,8,31120979
2011,9,31128283
2011,10,31363587
2011,11,30607360
2011,12,31178233
2012,1,28476355
2012,2,27805561
2012,3,31219505
2012,4,30758994
2012,5,32581643
2012,6,32637880
2012,7,32224533
2012,8,33140252
2012,9,30655557
2012,10,29882623
2012,11,27557195
2012,12,30589556
2013,1,29135875
2013,2,25968078
2013,3,30478088
2013,4,30889526
2013,5,32390865
2013,6,31965557
2013,7,32318464
2013,8,32900754
2013,9,30742658
2013,10,32567979
2013,11,30070801
2013,12,30225544
2014,1,27417370
2014,2,24786085
2014,3,30388949
2014,4,31126345
2014,5,32971047
2014,6,32859786
2014,7,33071374
2014,8,33146685
2014,9,31834485
2014,10,32971906
2014,11,30201523
2014,12,31836141
2015,1,27414028
2015,2,26073710
2015,3,31133467
2015,4,32227230
2015,5,33822527
2015,6,33859725
2015,7,34653999
2015,8,34485929
2015,9,32654395
2015,10,34001944
2015,11,31908533
2015,12,33143890
2016,1,28798640
2016,2,28930954
2016,3,33333847
2016,4,32701050
2016,5,34357747
2016,6,35073395
2016,7,34625565
2016,8,35163530
2016,9,33433854
2016,10,33595411
2016,11,32486131
2016,12,32803769
2017,1,30418235
2017,2,28072800
2017,3,32133869
2017,4,32578830
2017,5,34398582
2017,6,35020165
2017,7,34911895
2017,8,35908219
2017,9,33769283
2017,10,34931133
2017,11,33358208
2017,12,33026217
2018,1,210711424
2018,2,201259438
2018,3,226677410
2018,4,224252470
2018,5,238055587
2018,6,226611340
2018,7,218301878
2018,8,220474950
2018,9,216060764
2018,10,242397397
2018,11,220395002
2018,12,214517484
2019,1,219314076
2019,2,205979225
2019,3,235327876
2019,4,236113402
2019,5,246754818
2019,6,232436209
2019,7,231340427
2019,8,228763133
2019,9,235113621
2019,10,251190993
2019,11,228455590
2019,12,226348940
2020,1,224337636
2020,2,212775483
2020,3,125648918
2020,4,22820165
2020,5,31900006
2020,6,46860038
2020,7,59860122
2020,8,64508924
2020,9,94122578
2020,10,101957747
2020,11,91925034
2020,12,90878215
2021,1,86719474
2021,2,79710836
2021,3,104855490
2021,4,108004025
2021,5,116753552
2021,6,126908418
2021,7,128952056
2021,8,128130840
2021,9,137011031
2021,10,150795599
2021,11,146470973
2021,12,139899510
2022,1,114641489
2022,2,125001652
2022,3,154705817
2022,4,148844894
2022,5,156663336
2022,6,156992600
2022,7,147193657
2022,8,151521415
2022,9,160331931
2022,10,165036085
2022,11,157325898
2022,12,157120020
2023,1,153170768
2023,2,144114630
2023,3,172113338
2023,4,161145827
2023,5,178113878
2023,6,168426779
2023,7,159881258
2023,8,164586124
2023,9,162417619
2023,10,174834465
2023,11,164801926
2023,12,159982240
2024,1,153339055
2024,2,151249408
